DATASET_SYMBOL
#Symbol datasets allow the display of various symbols on the branches of the tree. For each node, one or more symbols can be defined.
#Each symbol's color, size and position along the branch can be specified.

#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL example_symbols

#dataset color (can be changed later)
COLOR #ffff00

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#


#largest symbol will be displayed with this size, others will be proportionally smaller.
MAXIMUM_SIZE 10


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
#the following fields are required for each node:
#ID,symbol,size,color,fill,position
#symbol should be a number between 1 and 5:
#1: rectangle
#2: circle
#3: star
#4: left pointing triangle
#5: right pointing triangle

#size can be any number. Maximum size in the dataset will be displayed using MAXIMUM_SIZE, while others will be proportionally smaller
#color can be in hexadecimal, RGB or RGBA notation. If RGB or RGBA are used, dataset SEPARATOR cannot be comma.
#fill can be 1 or 0. If set to 0, only the outline of the symbol will be displayed.
#position is a number between 0 and 1 and defines the position of the symbol on the branch (for example, position 0 is exactly at the start of node branch, position 0.5 is in the middle, and position 1 is at the end)

DATA
197 2 14 rgba(86,43,239,0.5) 1 0.12 label_197
197 2 37 rgba(133,181,6,0.2) 0 0.4 label_197
197 1 24 rgba(14,228,252,0.2) 0 0.4 label_197
I63 5 22 rgba(246,223,41,0.9) 1 0.22 label_I63
I63 2 29 rgba(145,150,141,0.7) 1 0.9 label_I63
I61 1 20 rgba(120,39,173,0.2) 0 0.18 label_I61
882 3 18 rgba(87,221,47,0.6) 1 0.08 label_882
882 5 29 rgba(110,41,118,0.6) 0 0.61 label_882
I60 1 32 rgba(60,125,32,0.3) 0 0.88 label_I60
I60 2 26 rgba(21,196,121,0.4) 0 0.2 label_I60
I60 1 23 rgba(75,98,236,0.9) 0 0.48 label_I60
I60 5 27 rgba(188,118,158,0.8) 1 0.98 label_I60
I60 5 31 rgba(188,100,222,0.5) 0 0.21 label_I60
35554 4 50 rgba(25,219,93,0.5) 0 0.35 label_35554
35554 3 49 rgba(123,117,151,0.6) 1 0.85 label_35554
35554 3 49 rgba(40,46,187,0.6) 0 0.39 label_35554
959 4 33 rgba(195,131,130,0.9) 1 0.83 label_959
959 4 43 rgba(154,19,138,0.8) 0 0.14 label_959
959 3 35 rgba(246,227,119,0.8) 1 0.39 label_959
959 4 39 rgba(94,240,202,0.5) 0 0.11 label_959
I62 4 29 rgba(168,152,46,0.9) 0 0.13 label_I62
I62 1 28 rgba(47,46,15,0.6) 0 0.55 label_I62
I62 2 40 rgba(34,147,53,0.2) 0 0.17 label_I62
I62 3 45 rgba(236,145,99,0.8) 1 0.92 label_I62
I62 1 15 rgba(103,209,215,0.7) 1 0.79 label_I62
240015 3 13 rgba(112,253,195,0.9) 1 0.15 label_240015
240015 5 10 rgba(231,193,34,0.4) 0 0.35 label_240015
234267 1 24 rgba(151,191,82,0.6) 0 0.43 label_234267
234267 1 19 rgba(169,155,61,0.4) 0 0.7 label_234267
I77 3 10 rgba(165,39,79,0.6) 1 0.66 label_I77
I77 3 16 rgba(196,108,79,0.9) 0 0.82 label_I77
I77 4 35 rgba(93,220,116,0.4) 1 0.53 label_I77
I77 3 27 rgba(105,205,27,0.3) 1 0.09 label_I77
I66 2 36 rgba(208,125,210,0.3) 0 0.26 label_I66
I66 1 43 rgba(232,212,228,0.4) 1 0.37 label_I66
76856 5 15 rgba(51,108,118,0.6) 1 0.58 label_76856
76856 3 37 rgba(170,130,216,0.8) 0 0.29 label_76856
76856 3 44 rgba(13,187,20,0.1) 0 0.32 label_76856
76856 3 40 rgba(71,136,187,0.9) 1 0.47 label_76856
I65 4 46 rgba(132,33,210,0.9) 0 0.82 label_I65
63363 1 32 rgba(230,38,240,0.9) 0 0.55 label_63363
2336 5 45 rgba(30,155,7,0.3) 0 0.77 label_2336
2336 3 26 rgba(77,71,132,0.8) 1 0.88 label_2336
I76 2 50 rgba(39,171,121,0.4) 0 0.94 label_I76
I76 3 29 rgba(12,14,207,0.6) 1 0.92 label_I76
I68 1 38 rgba(215,250,10,0.2) 0 0.49 label_I68
I68 5 20 rgba(228,96,94,0.3) 1 0.01 label_I68
I68 1 42 rgba(15,62,89,0.7) 0 0.35 label_I68
I68 2 10 rgba(46,139,92,0.2) 1 0.05 label_I68
I67 4 21 rgba(111,159,132,0.5) 0 0.63 label_I67
I67 4 43 rgba(174,211,138,0.2) 1 0.07 label_I67
I67 1 45 rgba(42,68,130,0.3) 0 0.31 label_I67
I67 4 34 rgba(193,51,208,0.3) 0 0.91 label_I67
I67 2 47 rgba(41,211,53,0.7) 0 0.59 label_I67
262724 1 17 rgba(207,19,209,0.2) 1 0.9 label_262724
262724 5 32 rgba(12,238,207,0.2) 1 0.73 label_262724
262724 1 44 rgba(220,17,12,0.8) 1 0.29 label_262724
262724 1 48 rgba(251,2,166,0.1) 1 0.5 label_262724
1299 1 50 rgba(75,64,236,0.7) 0 0.81 label_1299
1299 5 10 rgba(28,135,208,0.8) 0 0.15 label_1299
1299 4 26 rgba(156,97,46,0.2) 0 0.93 label_1299
1299 1 46 rgba(182,132,171,0.6) 0 0.61 label_1299
1299 2 11 rgba(34,215,33,0.3) 1 0.34 label_1299
243164 5 46 rgba(124,82,224,0.5) 1 0.21 label_243164
243164 4 26 rgba(143,227,168,0.8) 0 0.43 label_243164
243164 5 12 rgba(123,9,161,0.7) 0 0.86 label_243164
243164 5 45 rgba(206,119,250,0.4) 1 0.5 label_243164
I75 4 48 rgba(60,3,213,0.9) 0 0.92 label_I75
I75 5 22 rgba(197,41,226,0.4) 0 0.47 label_I75
I75 3 47 rgba(6,38,235,0.6) 0 0.86 label_I75
I75 2 29 rgba(139,219,112,0.3) 1 0.21 label_I75
I74 2 25 rgba(41,74,110,0.4) 0 0.03 label_I74
I74 3 19 rgba(140,85,126,0.7) 0 0.89 label_I74
I70 5 34 rgba(148,81,144,0.2) 1 0.71 label_I70
I70 1 28 rgba(44,175,125,0.7) 1 0.12 label_I70
I70 2 19 rgba(89,205,45,0.9) 1 0.78 label_I70
I70 3 16 rgba(210,88,63,0.1) 1 0.48 label_I70
I69 4 15 rgba(192,178,125,0.5) 1 0.42 label_I69
I69 3 30 rgba(163,45,115,0.5) 0 0.55 label_I69
103690 1 22 rgba(80,82,96,0.7) 0 0.1 label_103690
103690 2 12 rgba(153,234,55,0.3) 0 0.34 label_103690
103690 3 17 rgba(253,37,83,0.2) 0 0.77 label_103690
1148 4 20 rgba(177,150,33,0.4) 0 0.71 label_1148
1148 3 23 rgba(45,121,253,0.8) 1 0.07 label_1148
1148 4 19 rgba(103,168,159,0.8) 1 0.31 label_1148
32046 5 11 rgba(199,150,154,0.3) 1 0.12 label_32046
32046 1 30 rgba(186,153,125,0.5) 1 0.95 label_32046
I73 5 44 rgba(37,239,70,0.8) 1 0.46 label_I73
I73 2 20 rgba(115,206,40,0.8) 1 0.33 label_I73
I73 1 26 rgba(44,182,214,0.2) 0 0.42 label_I73
I73 2 36 rgba(156,176,65,0.2) 0 0.29 label_I73
I72 1 49 rgba(81,140,134,0.5) 0 0.55 label_I72
I71 1 40 rgba(15,9,72,0.8) 0 0.95 label_I71
I71 4 38 rgba(116,44,176,0.2) 0 0.76 label_I71
84588 5 28 rgba(24,213,226,0.8) 1 0.64 label_84588
84588 5 44 rgba(75,176,199,0.3) 1 0.58 label_84588
84588 3 42 rgba(54,183,183,0.4) 0 0.29 label_84588
74547 3 20 rgba(110,98,107,0.5) 0 0.41 label_74547
74547 3 19 rgba(208,90,28,0.9) 1 0.76 label_74547
74547 4 27 rgba(174,165,174,0.3) 1 0.85 label_74547
1219 1 13 rgba(56,158,15,0.2) 0 0.47 label_1219
1219 2 49 rgba(254,252,19,0.3) 0 0.68 label_1219
1219 5 43 rgba(111,139,131,0.2) 0 0.65 label_1219
1219 3 26 rgba(91,173,229,0.6) 1 0.23 label_1219
59919 3 18 rgba(255,189,165,0.8) 0 0.66 label_59919
59919 3 49 rgba(245,207,14,0.2) 0 0.07 label_59919
33072 4 13 rgba(44,148,142,0.4) 1 0.49 label_33072
33072 1 40 rgba(7,79,67,0.9) 0 0.36 label_33072
33072 1 48 rgba(66,35,45,0.2) 1 0.51 label_33072
33072 3 32 rgba(168,240,179,0.7) 0 0.55 label_33072
I109 4 30 rgba(67,128,86,0.5) 1 0.87 label_I109
I109 5 44 rgba(121,6,249,0.6) 1 0.04 label_I109
I109 2 27 rgba(20,71,94,0.3) 1 0.49 label_I109
I109 4 23 rgba(187,193,190,0.7) 1 0.42 label_I109
I98 2 22 rgba(214,128,168,0.8) 1 0.82 label_I98
I84 4 42 rgba(240,121,25,0.2) 1 0.37 label_I84
I84 3 45 rgba(47,156,233,0.4) 1 0.65 label_I84
I79 1 49 rgba(146,44,155,0.4) 0 0.22 label_I79
I79 4 42 rgba(29,37,17,0.1) 0 0.16 label_I79
I79 4 39 rgba(202,131,147,0.2) 0 0.57 label_I79
I79 5 28 rgba(100,37,247,0.6) 0 0.61 label_I79
214688 4 27 rgba(25,85,186,0.1) 1 0.09 label_214688
117 1 20 rgba(7,81,78,0.6) 0 0.89 label_117
117 3 13 rgba(187,103,161,0.3) 0 0.04 label_117
117 4 11 rgba(90,118,139,0.4) 0 0.61 label_117
117 2 26 rgba(45,115,107,0.5) 0 0.73 label_117
I83 4 34 rgba(160,217,180,0.6) 1 0.94 label_I83
I80 4 12 rgba(37,24,128,0.4) 1 0.02 label_I80
I80 5 30 rgba(195,99,60,0.7) 1 0.42 label_I80
I80 3 23 rgba(192,32,47,0.9) 1 0.29 label_I80
44275 5 12 rgba(42,56,219,0.5) 1 0.05 label_44275
44275 3 22 rgba(178,211,4,0.5) 0 0.11 label_44275
44275 4 22 rgba(122,113,216,0.1) 1 0.28 label_44275
44275 1 12 rgba(58,216,26,0.5) 1 0.31 label_44275
44275 5 42 rgba(79,16,209,0.5) 1 0.7 label_44275
173 2 20 rgba(217,125,253,0.6) 0 0.86 label_173
I82 2 49 rgba(161,86,80,0.6) 1 0.58 label_I82
I82 2 44 rgba(5,103,54,0.7) 0 0.88 label_I82
I81 3 22 rgba(43,119,169,0.2) 1 0.6 label_I81
I81 3 45 rgba(86,61,241,0.8) 1 0.04 label_I81
I81 1 22 rgba(208,183,227,1.0) 1 0.82 label_I81
I81 1 25 rgba(102,173,19,0.3) 1 0.89 label_I81
I81 3 38 rgba(242,205,165,0.1) 1 0.71 label_I81
160 1 19 rgba(62,25,249,0.5) 0 0.08 label_160
160 5 23 rgba(54,153,130,0.2) 0 0.18 label_160
160 5 24 rgba(59,203,27,0.1) 0 0.22 label_160
158 5 31 rgba(93,251,246,0.5) 0 0.99 label_158
158 1 13 rgba(8,238,62,0.1) 1 0.67 label_158
139 1 35 rgba(0,47,224,0.2) 0 0.9 label_139
139 4 12 rgba(144,58,177,1.0) 0 0.17 label_139
139 3 39 rgba(167,124,140,0.3) 0 0.74 label_139
139 3 16 rgba(114,68,106,0.3) 1 0.91 label_139
I97 4 26 rgba(204,18,101,0.4) 0 0.79 label_I97
I86 4 14 rgba(236,206,111,0.6) 0 0.97 label_I86
I85 4 22 rgba(177,163,93,0.8) 1 0.09 label_I85
I85 2 39 rgba(51,125,167,0.8) 1 0.24 label_I85
I85 5 12 rgba(134,156,129,0.5) 0 0.58 label_I85
218496 3 28 rgba(233,153,175,0.7) 1 0.89 label_218496
218496 5 28 rgba(185,10,233,0.9) 1 0.96 label_218496
218496 2 35 rgba(169,154,222,0.4) 0 0.06 label_218496
218496 4 42 rgba(206,96,252,0.6) 0 0.04 label_218496
218496 2 40 rgba(209,245,231,0.3) 1 0.08 label_218496
203267 1 49 rgba(189,36,203,0.2) 0 0.51 label_203267
203267 2 21 rgba(67,243,30,0.2) 1 0.19 label_203267
216816 3 39 rgba(10,96,23,0.2) 1 0.94 label_216816
216816 1 50 rgba(147,238,133,0.4) 1 0.73 label_216816
216816 3 21 rgba(63,132,243,0.8) 1 0.04 label_216816
216816 4 41 rgba(74,146,228,0.3) 1 0.12 label_216816
I96 1 43 rgba(49,184,16,0.9) 1 0.02 label_I96
I96 5 11 rgba(52,50,213,0.6) 0 0.39 label_I96
I94 1 11 rgba(53,251,151,0.2) 0 0.28 label_I94
I94 4 11 rgba(31,247,48,0.1) 1 0.48 label_I94
I94 1 22 rgba(166,185,153,0.6) 0 0.96 label_I94
I94 3 23 rgba(173,64,84,0.6) 1 0.16 label_I94
I94 3 43 rgba(107,180,68,0.9) 1 0.35 label_I94
I89 1 36 rgba(174,31,63,0.2) 1 0.15 label_I89
I88 4 47 rgba(242,66,251,0.6) 1 0.94 label_I88
I88 3 34 rgba(34,32,108,0.6) 1 0.77 label_I88
I88 2 49 rgba(51,123,234,0.9) 1 0.23 label_I88
I88 3 24 rgba(87,155,85,0.3) 0 0.84 label_I88
I87 5 37 rgba(55,11,59,0.2) 0 0.19 label_I87
I87 3 44 rgba(72,148,222,0.7) 0 0.93 label_I87
I87 4 14 rgba(195,92,122,0.1) 1 0.02 label_I87
I87 3 46 rgba(140,107,97,0.9) 0 0.19 label_I87
196627 1 43 rgba(54,127,10,0.4) 1 0.21 label_196627
1718 3 28 rgba(53,169,29,0.7) 0 0.49 label_1718
1718 5 47 rgba(193,221,209,0.5) 0 0.93 label_1718
1718 3 30 rgba(139,115,8,0.7) 0 0.67 label_1718
152794 1 27 rgba(80,198,45,0.4) 1 0.45 label_152794
152794 1 46 rgba(81,121,156,0.9) 0 0.96 label_152794
152794 1 21 rgba(39,94,187,0.5) 0 0.02 label_152794
1717 2 28 rgba(198,119,80,0.3) 1 0.68 label_1717
1717 2 35 rgba(40,35,133,0.5) 1 0.43 label_1717
1717 5 17 rgba(220,207,234,0.3) 0 0.13 label_1717
I93 5 17 rgba(144,128,85,0.6) 1 0.34 label_I93
I93 1 14 rgba(203,33,93,0.7) 0 0.45 label_I93
I93 3 41 rgba(246,41,84,0.5) 1 0.79 label_I93
I92 4 50 rgba(234,21,68,0.8) 0 0.45 label_I92
I92 4 23 rgba(247,236,49,0.8) 0 0.64 label_I92
I92 2 16 rgba(213,219,118,0.3) 1 0.74 label_I92
I92 2 10 rgba(235,115,143,0.5) 1 0.44 label_I92
I92 4 34 rgba(112,225,38,0.6) 1 0.52 label_I92
I91 5 19 rgba(255,221,50,0.7) 0 0.78 label_I91
I91 2 32 rgba(161,223,57,0.2) 0 0.38 label_I91
I91 1 28 rgba(119,56,104,1.0) 1 0.6 label_I91
I91 2 17 rgba(179,201,214,0.4) 0 0.6 label_I91
1765 3 30 rgba(185,219,154,0.7) 1 0.82 label_1765
1765 1 22 rgba(171,90,10,1.0) 0 0.58 label_1765
I90 5 47 rgba(42,29,36,0.5) 1 0.43 label_I90
I90 2 39 rgba(28,107,237,0.6) 0 0.52 label_I90
I90 2 38 rgba(229,154,42,0.3) 1 0.53 label_I90
83331 5 34 rgba(186,133,139,0.5) 1 0.82 label_83331
83331 3 32 rgba(251,59,236,0.9) 0 0.59 label_83331
83331 2 48 rgba(204,226,109,0.6) 0 0.68 label_83331
83331 1 37 rgba(84,25,89,0.2) 1 0.08 label_83331
83331 1 39 rgba(58,179,44,0.7) 0 0.63 label_83331
83332 2 31 rgba(102,62,6,0.5) 0 0.62 label_83332
83332 5 30 rgba(191,212,170,0.3) 1 0.1 label_83332
83332 5 45 rgba(12,23,223,0.2) 1 0.09 label_83332
1769 2 34 rgba(212,176,39,0.3) 0 0.12 label_1769
1769 3 42 rgba(19,96,194,0.8) 0 0.92 label_1769
1770 3 42 rgba(167,199,8,0.3) 1 0.18 label_1770
I95 5 47 rgba(204,176,68,0.7) 1 0.76 label_I95
I95 1 41 rgba(10,116,51,0.1) 0 0.99 label_I95
I95 5 22 rgba(138,177,231,0.6) 1 0.39 label_I95
I95 5 17 rgba(59,57,127,0.6) 1 0.43 label_I95
33903 4 32 rgba(107,105,68,0.5) 0 0.91 label_33903
33903 3 42 rgba(19,163,118,0.4) 0 0.27 label_33903
1902 5 35 rgba(101,48,117,0.9) 1 0.7 label_1902
1902 3 11 rgba(106,211,26,0.7) 0 0.04 label_1902
I108 5 11 rgba(175,135,184,0.8) 0 0.76 label_I108
I101 2 12 rgba(39,18,251,0.9) 1 0.52 label_I101
I101 4 44 rgba(118,30,227,0.5) 0 0.2 label_I101
I101 1 49 rgba(192,2,103,1.0) 1 0.88 label_I101
59374 4 12 rgba(35,225,192,0.7) 1 0.71 label_59374
I100 4 26 rgba(24,124,187,0.7) 1 0.23 label_I100
1097 4 49 rgba(152,141,227,0.5) 1 0.53 label_1097
1097 2 25 rgba(198,31,248,0.3) 1 0.19 label_1097
1097 3 49 rgba(19,111,90,0.9) 0 0.79 label_1097
I99 2 30 rgba(45,1,73,0.3) 0 0.32 label_I99
I99 1 23 rgba(58,226,236,0.6) 1 0.17 label_I99
I99 4 27 rgba(196,130,176,0.2) 0 0.6 label_I99
I99 1 11 rgba(70,29,140,0.3) 0 0.45 label_I99
I99 4 16 rgba(220,200,121,0.9) 1 0.03 label_I99
837 4 39 rgba(173,230,199,0.8) 1 0.05 label_837
837 1 26 rgba(33,239,31,0.3) 1 0.07 label_837
837 2 15 rgba(239,193,48,0.5) 1 0.63 label_837
837 4 25 rgba(108,20,215,0.3) 1 0.86 label_837
837 1 29 rgba(1,55,234,0.3) 1 0.91 label_837
818 4 45 rgba(16,235,175,0.3) 1 0.13 label_818
818 4 28 rgba(100,123,18,0.6) 1 0.52 label_818
I107 1 43 rgba(241,3,154,0.6) 0 0.39 label_I107
I107 2 14 rgba(104,187,205,0.4) 0 0.33 label_I107
I107 2 29 rgba(18,229,205,0.6) 0 0.11 label_I107
I107 1 24 rgba(129,113,129,0.9) 0 0.62 label_I107
I107 1 26 rgba(49,54,113,0.3) 1 0.57 label_I107
I105 1 23 rgba(37,159,246,0.2) 1 0.14 label_I105
I105 3 36 rgba(39,13,201,0.9) 0 0.94 label_I105
I104 3 42 rgba(8,11,13,0.5) 1 0.52 label_I104
I104 5 12 rgba(62,36,214,0.6) 1 0.81 label_I104
I104 4 11 rgba(86,161,201,0.8) 0 0.06 label_I104
182082 2 50 rgba(52,58,163,1.0) 0 0.75 label_182082
182082 4 15 rgba(123,227,12,0.9) 1 0.73 label_182082
I103 3 15 rgba(104,181,150,1.0) 0 0.72 label_I103
I103 2 45 rgba(217,124,202,0.9) 1 0.48 label_I103
138677 1 28 rgba(101,67,115,0.5) 1 0.24 label_138677
138677 5 20 rgba(15,189,191,0.7) 0 0.92 label_138677
138677 1 40 rgba(67,123,126,0.9) 0 0.73 label_138677
138677 5 47 rgba(94,182,203,0.8) 1 0.22 label_138677
I102 5 18 rgba(136,76,214,0.5) 0 0.36 label_I102
I102 5 15 rgba(17,227,130,0.9) 1 0.62 label_I102
I102 3 23 rgba(78,235,253,0.3) 1 0.62 label_I102
I102 5 35 rgba(140,255,68,0.3) 1 0.49 label_I102
I102 1 20 rgba(235,71,15,0.2) 0 0.59 label_I102
115713 3 43 rgba(39,91,119,0.2) 0 0.8 label_115713
115711 1 11 rgba(247,180,203,0.8) 1 0.23 label_115711
83557 1 24 rgba(146,245,127,0.6) 1 0.04 label_83557
83557 1 14 rgba(60,46,33,0.9) 1 0.52 label_83557
I106 3 23 rgba(224,235,66,0.6) 0 0.63 label_I106
I106 2 46 rgba(131,235,178,0.2) 0 0.83 label_I106
I106 2 23 rgba(198,229,242,0.8) 0 0.64 label_I106
I106 2 44 rgba(75,60,59,0.7) 1 0.17 label_I106
I106 1 30 rgba(182,251,40,0.9) 0 0.62 label_I106
83560 3 35 rgba(68,98,6,0.3) 0 0.99 label_83560
813 1 20 rgba(94,72,204,0.9) 0 0.93 label_813
813 1 37 rgba(31,4,67,0.3) 1 0.7 label_813
I148 3 10 rgba(68,53,10,0.3) 1 0.35 label_I148
I148 2 49 rgba(171,194,66,0.5) 1 0.65 label_I148
I148 3 39 rgba(222,211,4,0.2) 0 0.16 label_I148
I148 3 29 rgba(109,118,130,0.8) 1 0.53 label_I148
I113 3 23 rgba(82,230,145,0.8) 1 0.81 label_I113
I113 1 28 rgba(172,150,42,0.1) 1 0.89 label_I113
I113 2 38 rgba(116,18,129,0.5) 0 0.59 label_I113
I113 1 31 rgba(63,106,220,0.2) 1 0.82 label_I113
119072 2 30 rgba(41,173,25,0.7) 0 0.45 label_119072
119072 3 26 rgba(194,130,34,0.2) 0 0.8 label_119072
119072 4 26 rgba(69,218,94,0.5) 0 0.34 label_119072
I112 1 18 rgba(100,40,137,0.7) 1 0.54 label_I112
I112 3 48 rgba(193,158,119,0.6) 1 0.85 label_I112
I112 3 41 rgba(9,125,249,0.6) 0 0.12 label_I112
I112 3 24 rgba(62,70,51,0.9) 0 0.39 label_I112
I111 4 14 rgba(189,244,201,1.0) 0 0.54 label_I111
I111 5 30 rgba(25,63,188,1.0) 1 0.99 label_I111
I111 4 23 rgba(129,86,2,0.8) 1 0.71 label_I111
1513 4 10 rgba(91,85,51,0.7) 1 0.41 label_1513
1513 3 32 rgba(190,55,63,0.5) 1 0.55 label_1513
1502 4 34 rgba(71,255,39,0.5) 1 0.42 label_1502
1502 2 43 rgba(10,139,104,0.4) 0 0.16 label_1502
1502 1 34 rgba(0,173,248,0.8) 0 0.05 label_1502
1502 1 24 rgba(157,66,238,0.1) 1 0.44 label_1502
1502 3 32 rgba(240,7,86,0.8) 1 0.32 label_1502
1488 3 25 rgba(150,163,87,0.1) 1 0.58 label_1488
1488 3 38 rgba(123,35,59,0.4) 1 0.91 label_1488
I147 1 25 rgba(42,5,35,0.9) 0 0.3 label_I147
I121 5 20 rgba(24,169,121,0.3) 0 0.56 label_I121
I121 5 11 rgba(91,120,122,0.4) 1 0.62 label_I121
I121 5 46 rgba(2,104,66,0.7) 0 0.14 label_I121
I120 5 19 rgba(77,192,56,0.7) 0 0.78 label_I120
I120 2 21 rgba(154,234,20,0.7) 0 0.25 label_I120
I120 4 43 rgba(202,34,15,0.2) 0 0.69 label_I120
I119 2 13 rgba(187,8,100,0.8) 1 0.99 label_I119
I119 3 42 rgba(56,13,243,0.2) 0 0.74 label_I119
I114 4 35 rgba(210,65,101,1.0) 0 0.64 label_I114
I114 3 25 rgba(24,55,239,0.3) 0 0.69 label_I114
267748 5 25 rgba(1,91,115,0.4) 0 0.71 label_267748
267748 2 13 rgba(172,128,211,0.7) 0 0.76 label_267748
2107 2 23 rgba(187,148,228,1.0) 1 1 label_2107
2107 2 48 rgba(47,48,123,0.6) 1 0.12 label_2107
2107 1 32 rgba(224,61,89,0.2) 0 0.65 label_2107
I118 2 36 rgba(89,39,48,0.9) 1 0.61 label_I118
I118 4 24 rgba(216,61,175,0.7) 1 0.22 label_I118
I118 5 34 rgba(191,44,231,0.2) 0 0.57 label_I118
I118 4 26 rgba(42,192,141,0.3) 0 0.26 label_I118
I117 5 30 rgba(169,59,8,0.7) 1 0.14 label_I117
I117 2 42 rgba(98,206,115,0.3) 1 0.14 label_I117
I117 2 35 rgba(138,87,169,0.8) 1 0.79 label_I117
I116 4 18 rgba(94,158,101,0.5) 0 0.6 label_I116
I116 2 35 rgba(202,35,142,0.8) 1 0.94 label_I116
I116 5 36 rgba(4,203,47,0.8) 0 0.34 label_I116
I116 5 39 rgba(242,88,180,0.7) 0 0.27 label_I116
I115 5 46 rgba(22,61,131,0.7) 0 0.65 label_I115
I115 5 28 rgba(39,116,166,0.5) 1 0.48 label_I115
I115 1 48 rgba(81,159,2,0.4) 1 0.98 label_I115
I115 1 24 rgba(63,196,80,0.9) 1 0.28 label_I115
I115 5 24 rgba(219,70,63,0.2) 0 0.28 label_I115
2104 5 12 rgba(210,201,121,0.7) 0 0.55 label_2104
2104 3 16 rgba(18,235,215,0.3) 1 0.75 label_2104
2104 1 12 rgba(12,25,70,0.3) 1 0.15 label_2104
2104 3 41 rgba(60,28,128,0.6) 1 0.61 label_2104
2104 2 24 rgba(203,199,230,1.0) 0 0.49 label_2104
2097 1 10 rgba(181,25,184,0.7) 0 0.99 label_2097
2096 4 25 rgba(233,27,103,0.2) 1 0.97 label_2096
28227 5 43 rgba(164,90,28,0.8) 0 0.11 label_28227
28227 3 45 rgba(222,206,189,0.3) 0 0.82 label_28227
134821 1 33 rgba(128,62,220,0.4) 1 0.57 label_134821
134821 5 17 rgba(56,39,97,0.5) 1 0.32 label_134821
134821 2 24 rgba(183,133,36,0.6) 1 0.93 label_134821
134821 5 37 rgba(225,187,50,0.4) 0 0.81 label_134821
44101 3 45 rgba(9,99,248,0.6) 0 0.84 label_44101
44101 5 18 rgba(17,126,69,0.6) 0 0.8 label_44101
44101 4 32 rgba(64,9,91,0.7) 0 0.12 label_44101
100379 1 49 rgba(217,120,202,0.5) 1 0.03 label_100379
I146 4 32 rgba(131,159,254,0.3) 0 0.49 label_I146
I146 4 39 rgba(11,198,29,0.2) 1 0.11 label_I146
I146 4 28 rgba(99,34,192,0.4) 1 0.63 label_I146
I146 3 37 rgba(113,179,146,0.6) 0 0.31 label_I146
I146 5 11 rgba(176,22,136,0.3) 0 0.11 label_I146
I133 3 27 rgba(126,79,198,0.7) 0 0.16 label_I133
I133 3 19 rgba(121,202,232,0.2) 1 0.78 label_I133
I133 2 18 rgba(141,138,46,0.9) 1 0.56 label_I133
I129 1 23 rgba(44,102,241,0.7) 1 0.06 label_I129
I129 3 41 rgba(120,133,214,0.4) 0 0.31 label_I129
I129 3 43 rgba(105,81,153,0.5) 1 0.27 label_I129
I129 4 14 rgba(55,80,249,0.5) 0 0.49 label_I129
I123 1 41 rgba(181,201,1,0.1) 1 0.83 label_I123
I123 1 49 rgba(184,52,255,0.3) 0 0.63 label_I123
I122 2 27 rgba(208,182,149,0.6) 0 0.02 label_I122
I122 1 48 rgba(106,143,231,0.8) 0 0.31 label_I122
I122 4 27 rgba(84,133,85,0.6) 0 0.41 label_I122
265669 2 48 rgba(205,161,166,0.8) 0 0.01 label_265669
265669 1 50 rgba(205,65,216,0.3) 0 0.89 label_265669
1639 2 41 rgba(223,232,0,0.4) 0 0.24 label_1639
1639 1 34 rgba(83,42,21,0.5) 1 0.97 label_1639
1639 1 23 rgba(176,179,125,0.8) 1 0.03 label_1639
1642 3 43 rgba(1,20,245,0.5) 1 0.29 label_1642
I128 5 10 rgba(132,62,197,0.6) 1 0.39 label_I128
I128 2 28 rgba(169,180,183,0.3) 0 0.1 label_I128
I128 4 28 rgba(199,34,60,0.9) 1 0.18 label_I128
I128 5 29 rgba(238,200,4,0.4) 0 0.14 label_I128
I128 3 34 rgba(93,167,83,0.3) 0 0.32 label_I128
I124 5 18 rgba(10,214,123,1.0) 0 0.23 label_I124
I124 3 15 rgba(79,248,65,0.3) 0 0.31 label_I124
I124 2 42 rgba(158,106,35,0.7) 0 0.73 label_I124
I124 3 45 rgba(45,210,138,0.4) 1 0.03 label_I124
I124 5 43 rgba(233,176,181,0.1) 0 0.49 label_I124
182710 2 10 rgba(39,106,171,0.2) 1 0.49 label_182710
182710 3 21 rgba(165,40,76,0.3) 0 0.38 label_182710
182710 3 36 rgba(159,196,252,1.0) 0 0.98 label_182710
182710 2 23 rgba(136,62,1,0.7) 0 0.43 label_182710
182710 2 29 rgba(240,96,195,0.8) 1 0.45 label_182710
86665 2 43 rgba(167,186,78,1.0) 1 0.88 label_86665
86665 3 18 rgba(63,203,12,0.3) 0 0.75 label_86665
