DATASET_MULTIBAR
#In multi-value bar charts, each ID is associated to multiple numeric values, which are displayed as a stacked or aligned bar chart
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,example multi bar chart

#dataset color (can be changed later)
COLOR,#ff0000

#define colors for each individual field column (if

#field labels

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE,2000,10000,20000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR)) 
#DATASET_SCALE,2000-2k line-#0000ff-5-1-1,10000-line at 10k-#ff0000-1-0-2,20000-3rd line-#00ff00-5-1-1

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#maximum width
WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,0

#bar height factor; Default bar height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,0.5

#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by
BAR_SHIFT,0

#align individual fields; if set to 1, individual bar charts will not be stacked
ALIGN_FIELDS,0
FIELD_LABELS,rl0,rl1,rl2,rl3,rl4,rl5,rl6,rl7,rl8,rl9,rl10,rl11,rl12,rl13,rl14,rl15,rl16,rl17,rl18,rl19,rl20,rl21,rl22,rl23,rl24,rl25,rl26,rl27,rl28,rl29,rl30,rl31,rl32,rl33,rl34,rl35,rl36,rl37,rl38,rl39,rl40,rl41,rl42,rl43,rl44,rl45,rl46,rl47,rl48,rl49
66077,846,327,282,469,550,562,628,828,827,210,133,901,955,646,583,267,756,737,936,766,790,299,76,255,734,796,332,424,845,421,222,83,156,905,97,683,784,180,983,942,808,818,610,595,96,798,36,74,871,978
I51,735,194,796,787,874,577,489,607,26,447,357,528,332,407,376,218,207,742,345,410,542,618,366,344,510,738,44,338,8,277,101,528,477,5,161,706,26,115,471,135,411,9,639,376,754,327,949,222,934,19
782,704,343,317,91,763,997,440,824,0,604,475,753,597,885,987,236,186,84,573,901,749,898,280,622,304,346,613,238,506,371,453,893,584,849,616,363,673,316,383,694,92,618,44,162,190,744,906,681,776,474
781,842,77,564,7,908,421,519,13,658,369,219,283,654,182,62,52,652,864,561,286,963,340,264,857,561,179,229,362,936,522,442,982,558,859,749,1000,12,834,497,455,779,340,9,260,372,707,906,936,117,394
I58,546,110,674,137,127,607,987,889,60,652,650,174,198,851,708,202,976,791,951,766,282,108,663,466,671,357,692,184,183,153,505,130,349,580,575,321,164,721,190,456,400,740,164,80,669,859,487,258,408,267
I57,4,322,889,640,777,135,212,301,208,370,664,305,44,175,607,872,338,632,376,869,762,818,716,425,244,920,458,521,51,101,949,87,537,308,162,826,285,291,499,632,613,291,287,463,141,789,467,969,660,968
I56,278,728,360,263,601,780,963,536,231,651,972,7,75,232,152,589,664,281,578,400,512,876,114,686,909,444,632,792,859,681,966,194,274,476,859,376,739,31,717,247,785,283,582,813,985,599,411,724,754,594
I55,199,159,705,547,713,608,600,2,415,487,954,455,988,752,652,56,127,866,894,529,992,980,159,651,797,185,478,701,119,982,757,189,9,689,705,737,962,48,120,253,572,909,665,867,958,124,883,234,353,575
85963,763,976,20,693,131,484,353,570,818,818,580,27,760,562,458,553,205,737,382,606,878,225,830,768,882,482,83,851,655,903,423,524,514,955,781,968,210,994,557,906,899,4,800,701,912,813,610,555,538,449
210,827,44,847,902,291,974,332,679,391,664,513,90,301,10,533,131,920,170,115,623,119,605,170,966,781,552,590,77,6,445,617,969,249,588,150,680,511,112,244,656,36,170,231,249,209,729,888,127,767,585
32025,558,462,742,724,313,243,527,832,960,450,789,37,590,674,938,224,806,175,15,233,759,16,683,503,125,400,154,867,764,443,840,52,167,882,695,125,264,723,418,806,83,726,200,330,880,345,368,504,26,634
844,468,974,263,988,826,123,88,382,431,531,773,597,647,782,579,333,804,900,775,417,662,884,374,658,895,312,108,119,369,720,986,249,208,453,85,137,834,106,334,366,104,72,38,740,328,159,698,178,931,370
197,249,410,789,834,13,663,590,991,693,602,266,439,48,78,134,286,983,817,925,852,82,66,528,804,653,522,475,368,493,361,192,397,16,714,449,600,484,191,2,250,777,776,865,887,255,970,983,612,605,883
I63,792,444,729,527,395,216,129,101,120,498,843,915,441,803,49,448,217,761,845,470,762,62,548,484,402,497,2,708,58,57,547,49,629,455,848,254,801,96,521,735,589,741,5,2,985,71,936,107,964,1000
I61,129,929,56,888,217,772,731,777,708,391,575,138,706,268,918,427,266,19,215,511,47,821,93,116,280,461,140,449,301,348,230,519,693,95,559,755,939,355,268,318,897,21,701,464,329,43,227,790,314,107
882,546,977,845,609,805,313,167,155,504,655,58,663,591,122,210,432,365,253,809,969,365,967,214,262,313,327,835,938,766,0,957,425,600,670,463,582,813,957,869,163,334,896,597,49,462,770,144,504,863,977
I60,989,723,637,885,684,143,46,584,716,355,738,754,981,288,529,930,619,241,995,803,405,705,466,299,775,358,213,289,49,517,42,321,50,962,646,881,805,946,427,550,350,834,112,13,59,233,445,533,111,529
35554,91,842,905,128,131,973,875,772,379,686,669,775,822,817,138,232,582,434,842,432,874,983,833,65,646,922,448,239,940,105,411,205,406,79,470,837,918,527,240,603,256,283,1,397,123,608,927,508,127,357
959,431,825,345,685,153,431,495,149,314,680,414,372,839,769,118,573,440,707,208,912,80,891,302,37,569,810,26,996,233,739,947,208,921,720,398,801,401,972,460,311,175,254,636,81,576,567,655,743,316,287
I62,371,332,834,879,589,50,137,268,579,276,485,335,507,817,787,672,869,614,36,36,853,317,362,400,702,628,501,676,665,336,120,853,925,434,820,648,645,836,587,93,505,66,161,664,31,572,707,95,301,682
240015,796,963,932,115,13,874,502,150,758,632,366,185,468,164,614,389,76,18,285,344,828,872,73,438,42,872,232,819,292,890,555,330,477,946,577,591,394,885,352,360,381,590,32,894,349,586,412,167,574,177
234267,613,729,641,131,327,255,447,768,571,888,79,55,425,915,696,338,509,347,954,738,343,37,442,253,372,490,100,200,831,675,183,237,165,669,235,200,753,482,13,770,246,896,452,176,60,822,32,3,331,778
I77,188,229,430,532,424,702,641,125,612,558,687,832,490,542,303,988,257,213,112,70,787,524,123,36,247,960,745,723,746,743,50,718,604,785,637,717,174,953,64,928,540,350,663,399,849,995,659,773,798,361
I66,149,212,440,476,368,892,426,413,836,607,354,937,283,650,995,22,253,635,433,110,960,627,411,917,997,606,275,527,65,395,238,313,803,392,6,931,515,990,154,595,716,634,926,928,757,500,692,651,595,571
76856,926,252,605,396,20,702,215,480,797,388,431,251,455,874,991,674,132,319,952,428,790,186,993,836,565,317,866,202,863,411,5,707,517,425,385,850,84,986,50,631,765,276,469,383,146,360,178,128,942,869
I65,606,977,961,269,437,897,742,905,929,402,453,850,897,999,27,782,557,620,125,871,578,516,594,741,860,740,596,567,475,398,885,634,910,652,925,425,597,414,329,1,446,661,303,720,643,554,128,218,479,641
63363,988,284,456,55,32,243,573,502,491,945,269,913,421,934,559,87,443,666,361,366,121,276,332,402,278,530,490,143,121,784,997,105,291,740,459,412,223,714,306,552,910,591,787,751,796,303,191,737,662,533
2336,593,959,816,513,839,12,269,913,175,292,427,263,93,655,295,346,157,784,825,662,734,374,415,501,830,823,456,716,441,774,37,8,266,354,999,823,565,921,208,312,392,314,648,630,809,535,626,612,292,647
I76,404,554,109,591,34,98,989,550,900,253,916,34,832,579,981,213,526,815,201,843,659,744,619,590,753,652,128,249,217,144,546,223,433,142,443,970,929,915,408,736,11,931,858,422,478,483,927,234,951,74
I68,941,938,283,814,802,59,811,812,869,581,392,376,615,413,734,133,526,716,887,822,194,888,584,980,70,887,808,94,910,483,211,411,151,551,152,61,934,608,951,235,405,940,888,993,642,990,269,878,795,738
I67,637,769,548,237,273,267,481,895,618,397,454,899,774,982,246,597,378,791,734,75,547,518,972,369,296,664,118,925,990,344,302,766,581,87,769,429,616,45,915,103,811,554,744,815,423,231,662,290,613,460
262724,992,547,924,507,784,589,427,569,792,732,285,551,609,300,471,129,945,414,972,502,278,502,453,387,493,695,267,801,85,205,743,260,986,206,33,474,805,737,972,808,312,956,267,733,830,696,500,647,925,744
1299,692,221,498,449,327,783,862,784,10,596,156,730,575,433,793,141,906,977,932,197,900,195,748,261,555,763,891,486,248,454,74,954,555,312,506,681,745,103,577,167,1000,237,636,922,803,642,900,484,18,411
243164,137,398,684,369,312,941,935,483,971,571,235,118,348,689,265,346,794,973,176,758,616,588,110,265,249,540,692,139,754,898,602,450,936,325,986,849,105,904,201,78,885,354,854,457,771,543,361,577,443,39
I75,25,269,543,723,586,358,202,621,913,325,0,474,643,480,245,784,141,674,683,854,617,622,80,340,285,19,774,98,564,161,439,19,331,444,153,341,810,106,423,215,26,192,213,434,397,883,774,801,335,181
I74,815,801,508,97,647,758,860,78,679,511,982,86,395,673,649,264,875,645,55,312,223,818,993,87,482,968,858,988,462,211,317,222,815,26,456,514,978,411,490,42,705,107,65,3,863,119,755,853,804,287
I70,452,827,478,493,680,257,881,141,457,541,879,33,216,110,511,618,275,876,363,463,478,293,805,466,758,343,460,341,136,10,404,246,397,125,818,988,403,612,411,22,137,323,232,163,269,12,866,672,227,290
I69,493,283,261,707,187,745,413,171,893,259,542,430,35,272,436,354,237,399,286,284,569,194,827,189,37,612,779,443,448,290,692,794,168,192,477,204,658,786,870,917,912,500,423,502,715,551,780,512,957,304
103690,580,165,765,26,46,108,245,342,39,292,428,352,379,50,862,889,445,261,598,444,945,196,373,182,477,193,734,737,891,964,959,508,688,530,326,356,332,434,723,447,92,760,41,155,245,791,684,252,2,112
1148,326,28,39,555,237,546,135,796,840,980,510,286,737,517,210,990,252,963,135,832,600,701,807,232,999,376,44,508,961,124,199,852,837,342,7,531,57,100,857,4,285,318,845,662,287,427,605,225,52,598
32046,71,476,346,928,127,5,701,951,564,904,932,410,571,191,661,27,749,970,522,794,76,459,157,859,826,771,11,166,587,537,245,409,825,832,128,638,424,401,796,441,842,803,288,558,376,170,246,647,29,87
I73,677,548,23,413,911,272,94,209,555,450,333,54,959,960,2,716,551,468,168,809,356,664,798,67,253,912,656,1000,682,107,612,958,198,212,968,683,592,581,953,935,751,102,309,163,625,578,402,652,506,267
I72,682,165,231,187,581,703,565,356,877,976,157,711,233,722,664,246,787,128,13,472,248,217,514,183,189,690,9,344,64,841,926,566,311,83,196,570,416,620,427,151,106,532,877,595,446,833,321,4,497,335
I71,249,466,636,610,400,379,251,733,108,800,307,447,236,435,708,59,905,199,700,482,435,900,286,580,626,545,827,499,71,911,588,156,507,705,541,7,274,166,938,154,451,336,557,80,912,907,213,650,463,340
84588,649,586,232,775,704,260,151,32,534,494,612,815,696,83,500,526,616,358,294,476,509,356,576,980,610,755,206,880,535,153,425,620,331,423,545,500,284,406,593,216,916,35,179,682,516,178,516,453,757,703
74547,979,794,488,381,364,259,701,311,534,596,93,1000,213,402,927,593,663,143,57,411,872,158,942,713,741,302,637,388,777,548,365,1,174,800,763,278,931,440,947,587,386,551,646,697,405,506,330,499,45,117
1219,961,419,359,949,812,643,809,507,442,707,878,133,554,826,152,687,202,5,47,820,415,247,281,249,840,135,927,252,128,341,40,901,557,191,607,239,501,727,832,416,620,317,661,373,840,434,4,270,964,112
59919,799,793,442,767,869,644,880,17,880,258,664,147,124,322,480,745,696,718,169,577,294,493,938,636,157,309,89,856,813,305,441,880,962,273,509,993,680,979,978,817,345,865,929,588,762,463,795,701,851,871
33072,646,452,499,577,429,96,682,434,699,944,498,222,968,754,17,341,813,675,52,681,257,513,256,400,711,91,818,51,655,868,45,100,842,140,294,108,917,361,814,552,945,627,337,940,586,195,162,137,269,453
I109,995,862,978,164,358,767,105,290,865,364,54,374,391,958,16,443,255,783,11,971,664,816,404,621,696,920,528,853,868,4,554,716,75,226,553,977,76,960,685,460,90,115,327,113,650,5,540,346,925,433
I98,962,828,622,979,516,612,467,986,195,423,482,496,716,177,509,700,478,16,372,788,232,701,620,644,249,921,440,709,78,532,348,808,655,123,473,102,49,104,770,592,488,476,580,600,535,307,9,715,879,678
I84,191,337,484,508,83,443,28,356,519,410,91,750,739,251,139,825,464,478,252,670,995,583,843,406,128,618,542,732,935,601,502,55,312,767,16,246,494,850,793,166,632,126,623,480,469,584,906,475,380,499
I79,264,611,592,73,529,547,243,385,26,680,403,267,782,716,751,807,946,605,855,482,763,326,129,966,24,557,302,197,696,47,409,677,543,162,881,521,880,289,248,796,192,937,467,376,178,406,496,633,337,15
214688,447,100,623,566,563,380,350,359,960,192,963,55,86,573,650,0,280,27,118,284,337,913,376,645,389,524,344,247,68,909,770,881,244,342,551,559,642,106,449,426,977,111,485,476,142,405,155,864,117,877
117,592,151,94,72,235,64,220,793,636,495,733,225,233,102,887,600,768,942,261,685,468,157,225,638,448,601,384,165,871,446,467,470,258,145,396,570,273,46,772,322,529,856,931,233,563,774,899,983,745,749
I83,6,345,489,879,152,808,506,472,376,528,680,479,613,95,113,517,527,275,660,384,863,337,475,693,878,811,733,818,257,413,808,628,160,970,338,322,603,373,983,898,522,541,140,725,149,669,175,921,617,208
I80,686,342,45,728,648,831,757,836,671,874,257,738,278,562,37,478,745,834,713,452,515,674,644,396,148,171,242,920,232,718,933,986,493,614,875,772,944,793,219,283,546,400,999,768,899,379,195,158,43,168
44275,706,828,527,162,419,946,235,297,274,50,260,67,949,939,860,418,249,702,23,243,518,322,497,300,62,178,13,517,652,979,564,622,103,914,168,640,469,407,620,615,428,897,657,570,335,886,228,681,781,496
173,802,53,938,720,585,328,962,554,84,579,901,551,240,784,478,25,560,816,998,688,64,62,448,979,31,962,734,290,766,228,512,715,464,127,976,375,653,887,400,352,228,258,676,520,563,624,767,411,457,485
I82,518,96,874,663,639,0,775,366,175,310,107,879,659,425,977,80,798,885,272,805,180,154,167,21,491,418,59,965,46,146,634,667,289,748,164,970,604,15,144,51,371,314,342,820,917,193,317,187,525,744
I81,177,715,642,669,301,144,13,907,942,161,647,720,79,844,96,132,920,952,780,37,256,837,847,82,436,234,98,974,183,833,674,18,236,222,269,608,659,105,741,357,938,577,392,469,617,898,668,520,542,548
160,35,425,137,270,331,870,468,430,971,333,57,906,56,900,284,682,809,113,646,112,140,599,717,867,618,844,818,445,495,830,506,442,2,106,134,241,816,548,761,462,5,816,129,36,746,242,33,946,701,911
158,136,112,676,937,753,231,986,965,104,268,69,597,933,653,950,687,52,97,13,391,407,895,637,925,754,935,707,601,992,407,649,677,399,781,390,506,763,221,810,238,989,775,408,187,656,696,901,486,933,222
139,491,313,537,889,330,64,721,991,383,368,260,340,789,30,751,600,164,865,482,939,211,326,95,103,303,912,237,293,860,865,363,756,229,455,640,720,434,411,605,4,208,252,236,183,553,240,9,124,881,509
I97,324,910,898,458,120,263,41,774,10,715,826,172,988,445,249,130,739,791,873,691,378,402,245,350,459,559,686,716,580,692,480,655,753,146,451,121,76,52,6,252,441,590,44,230,936,787,731,675,901,61
I86,739,499,678,176,671,441,195,256,905,454,743,979,991,962,906,387,143,478,510,766,297,156,870,622,297,326,703,883,752,227,17,789,577,49,376,914,754,15,224,592,412,146,298,814,200,254,420,500,267,462
I85,741,426,355,560,326,43,92,277,810,951,768,480,996,467,321,202,776,620,711,317,576,687,520,590,962,294,187,818,369,948,574,175,969,901,503,648,64,436,978,93,101,737,239,768,842,774,214,545,793,94
218496,789,916,858,755,231,759,628,365,241,398,775,706,491,546,500,558,465,685,337,347,734,67,586,26,326,317,398,990,285,895,168,70,999,317,741,651,631,759,801,995,760,523,847,803,61,673,84,852,150,65
203267,866,154,858,230,162,688,174,460,770,789,124,61,602,485,764,718,288,201,668,338,148,551,28,385,338,139,256,632,1,988,860,153,135,433,728,76,999,435,833,680,564,685,133,40,918,350,314,903,165,791
216816,452,498,366,964,732,498,437,864,79,604,788,908,648,942,349,677,962,444,502,925,212,885,659,738,519,441,985,506,347,302,140,689,856,996,446,599,194,45,842,631,599,720,690,109,705,774,224,124,950,947
I96,997,691,81,819,872,445,789,414,921,76,676,805,877,355,824,288,47,78,606,668,388,892,647,953,478,285,529,808,959,524,28,487,656,678,146,737,389,159,171,594,476,422,187,690,667,853,825,398,355,538
I94,239,593,894,932,136,681,247,915,43,766,772,720,697,105,292,246,526,405,333,55,734,812,221,267,855,885,606,238,695,858,19,395,391,292,716,995,402,210,360,38,535,217,777,740,74,927,300,599,676,496
I89,915,535,351,380,497,849,419,955,491,163,587,775,536,390,522,401,142,142,388,400,820,550,694,971,365,919,427,660,801,525,988,216,762,998,427,467,845,834,64,587,373,371,509,351,799,609,832,170,919,695
I88,790,852,652,132,468,273,88,669,57,937,846,912,336,504,148,432,274,766,539,454,765,850,501,335,944,94,244,990,443,417,769,135,309,810,600,925,971,50,18,480,429,691,795,900,78,759,296,911,29,323
I87,200,222,478,197,142,557,757,248,919,32,859,466,440,778,641,462,209,627,347,486,505,536,810,871,836,991,17,501,396,209,950,992,902,809,547,87,318,594,366,317,327,665,448,263,489,303,574,387,671,159
196627,907,289,509,325,31,541,904,6,829,665,292,53,356,806,480,618,158,747,507,767,582,650,629,411,989,80,668,445,847,586,564,910,580,197,445,887,260,49,534,658,15,526,217,710,547,348,498,584,346,368
1718,969,81,410,434,175,251,247,642,380,649,420,486,608,246,377,460,225,230,600,80,935,385,317,568,900,161,341,119,156,278,378,888,290,275,894,854,519,196,986,137,78,503,647,20,800,549,688,911,308,574
152794,892,12,980,758,879,185,80,541,698,771,338,585,400,791,563,849,268,815,491,323,818,780,649,792,214,340,995,27,231,638,748,691,521,486,494,639,750,162,770,458,927,77,711,304,742,301,873,191,484,456
1717,429,138,780,449,39,416,43,475,247,731,321,266,584,375,680,567,100,301,742,664,834,15,730,664,529,775,360,527,353,579,968,241,514,807,120,271,743,776,320,304,737,88,585,554,792,914,204,16,378,391
I93,624,831,561,826,758,688,861,18,225,868,780,958,43,827,450,409,991,306,997,119,941,964,886,810,824,849,380,740,92,919,917,40,73,322,391,710,40,492,795,144,751,712,573,633,476,830,556,521,359,985
I92,122,865,941,38,40,633,857,714,665,383,479,202,171,246,156,767,374,205,119,414,243,972,863,20,200,743,148,803,278,122,59,710,731,540,225,696,645,790,585,171,625,132,507,632,644,353,234,337,732,781
I91,948,474,818,953,264,281,726,135,47,594,739,676,146,795,204,228,964,448,826,18,922,850,97,515,396,920,135,922,892,943,763,454,826,992,46,961,348,222,464,140,147,651,113,853,819,642,616,464,151,13
1765,795,598,390,805,841,478,464,915,426,301,149,506,706,345,707,556,883,480,51,510,367,198,876,402,626,576,646,146,734,190,357,919,278,659,336,831,4,51,546,671,621,789,413,225,296,547,115,910,654,174
I90,409,857,751,728,255,593,299,104,543,942,712,393,826,921,496,467,879,897,755,757,358,533,297,592,151,627,100,975,59,480,386,205,581,387,684,342,687,700,107,584,11,92,458,941,897,146,416,52,427,114
83331,373,500,378,879,776,850,999,345,942,192,603,372,747,258,365,394,856,252,876,198,129,835,871,165,7,449,196,875,182,42,530,184,118,154,934,747,517,216,898,993,546,385,554,213,771,866,782,854,556,510
83332,576,86,367,407,310,464,773,560,756,101,882,517,223,484,603,844,577,597,475,818,978,325,844,263,226,521,234,106,88,291,736,199,123,478,896,574,275,617,392,112,594,920,938,8,555,416,718,501,959,406
1769,270,844,4,372,304,781,484,245,880,493,758,114,320,860,436,968,363,765,686,553,362,166,419,960,682,79,346,923,944,197,567,353,635,97,812,859,65,307,720,897,354,658,422,416,658,972,851,205,250,451
1770,617,427,845,3,787,697,396,575,788,132,245,593,880,668,333,347,527,431,339,407,428,418,161,372,967,731,500,621,885,129,25,661,942,964,973,940,975,7,736,77,887,216,800,811,368,742,527,327,633,787
I95,916,381,664,334,694,26,769,226,311,65,345,324,953,926,909,452,18,914,124,141,150,687,448,420,60,272,677,102,95,394,97,11,915,620,88,294,182,614,372,28,144,296,409,509,240,447,287,772,695,684
33903,78,574,827,548,504,598,500,625,67,4,222,930,108,775,60,562,293,46,103,920,183,603,415,640,545,176,314,565,660,387,21,474,319,680,619,633,589,482,209,233,712,371,279,759,440,189,302,544,631,517
1902,247,645,487,481,125,216,47,154,764,208,20,380,777,434,890,666,748,303,872,205,481,633,418,691,888,204,957,875,607,390,715,46,18,929,869,391,218,925,4,210,939,976,821,674,457,261,833,634,537,885
I108,419,165,411,619,248,218,818,951,984,386,994,524,608,688,740,647,146,127,815,457,342,650,719,400,560,626,54,490,630,259,3,363,458,709,595,840,24,43,332,962,825,664,960,752,968,443,273,416,267,492
I101,233,607,261,750,394,998,246,753,570,157,169,436,381,753,687,20,616,193,402,690,878,96,729,953,802,824,212,818,568,321,309,60,89,18,26,681,605,907,852,295,553,10,902,361,31,814,539,804,481,287
59374,575,401,665,743,219,869,868,795,443,964,84,412,372,911,71,278,370,69,384,508,94,89,537,218,254,273,233,148,817,534,903,555,805,506,494,5,177,188,799,389,970,821,601,323,9,288,151,193,143,795
I100,719,782,792,347,623,414,571,944,447,295,155,417,503,699,580,395,719,268,453,799,863,788,304,567,927,748,958,550,646,164,692,707,735,470,45,157,931,928,632,412,45,227,838,389,480,879,526,240,661,239
1097,899,797,343,687,88,284,734,372,49,310,260,966,319,726,921,86,534,701,783,944,130,104,479,876,332,870,578,757,118,658,162,892,762,912,165,535,621,106,140,75,200,157,683,735,590,291,160,471,591,646
I99,281,295,352,724,616,822,721,665,486,707,819,993,53,707,222,265,623,652,316,241,951,463,968,136,22,536,62,478,169,268,907,590,182,395,61,253,293,781,877,780,671,607,720,629,397,59,216,855,219,362
837,444,290,827,354,572,118,605,355,329,691,704,127,98,291,319,18,647,399,353,117,449,842,969,398,43,164,687,896,296,988,277,8,230,677,291,175,111,305,636,472,5,63,628,39,176,352,972,947,821,36
818,587,152,195,507,484,90,697,306,672,742,552,736,253,231,525,446,380,581,842,812,499,313,309,114,657,475,381,861,893,328,657,138,224,392,918,410,733,76,395,201,252,548,384,900,527,798,903,704,17,909
I107,29,245,348,913,814,181,509,936,693,348,665,995,58,244,667,723,662,27,136,172,141,413,63,449,544,688,193,500,178,640,78,745,944,834,397,441,544,69,229,339,980,772,727,458,788,701,618,360,363,40
I105,894,496,276,70,135,858,226,499,817,758,67,299,186,885,41,70,790,875,712,613,699,260,922,319,15,935,78,859,974,580,746,348,200,25,22,889,620,225,564,454,734,426,71,860,927,178,535,358,473,406
I104,337,66,420,605,165,192,664,990,321,570,438,913,405,296,98,263,574,836,346,210,860,299,242,377,980,788,279,120,738,732,534,397,262,804,908,396,296,921,129,779,558,50,425,987,836,166,953,752,49,238
182082,391,94,37,487,756,54,516,804,472,423,110,464,104,853,492,439,990,929,557,268,742,478,832,907,193,824,949,788,728,164,537,969,975,521,474,192,475,842,491,582,576,513,430,325,394,885,648,305,321,157
I103,696,41,255,156,933,134,830,472,365,2,275,133,322,710,221,496,1,974,606,54,81,182,14,8,192,781,859,493,809,702,222,171,849,122,292,759,908,460,447,653,287,677,376,696,326,991,36,894,512,203
138677,938,637,827,8,598,87,867,315,403,220,139,687,655,126,954,235,97,776,224,453,372,547,322,924,613,126,966,852,756,630,941,68,702,307,446,167,867,357,269,289,322,836,125,497,233,794,165,450,466,12
I102,866,262,392,125,787,985,92,441,430,101,848,515,951,719,112,665,71,550,617,155,209,390,407,974,751,776,53,620,553,498,271,891,900,696,279,800,379,222,152,71,932,769,689,356,940,556,866,536,426,47
115713,201,793,167,815,99,763,850,71,396,508,216,199,558,2,220,85,867,393,303,443,795,268,355,762,698,632,516,772,363,252,146,251,971,100,306,922,81,508,475,863,785,398,645,595,995,264,139,46,44,986
115711,310,672,531,555,603,890,823,399,550,914,453,756,65,882,418,644,196,150,302,165,26,933,326,871,395,552,340,227,50,65,302,948,947,363,477,311,732,755,177,8,937,831,702,557,653,411,18,891,243,29
83557,870,240,611,924,880,16,653,894,583,600,944,567,641,989,929,296,862,628,456,780,839,262,61,678,589,273,149,285,898,863,296,923,695,523,404,646,213,627,938,273,220,556,981,742,479,260,811,387,109,932
I106,494,621,270,727,53,505,741,582,107,92,927,599,603,354,75,42,895,530,308,258,523,633,558,195,317,299,687,423,704,836,80,126,40,607,632,157,342,57,382,265,282,318,420,587,986,984,432,449,661,150
83560,189,866,413,734,461,322,257,681,128,93,741,496,656,617,158,219,752,460,104,560,604,530,519,243,817,114,935,190,584,832,522,542,256,489,813,222,335,277,57,449,852,817,889,462,549,373,574,714,747,72
813,401,477,554,412,118,435,416,513,680,633,730,122,162,283,616,428,100,778,722,36,804,58,264,419,127,199,986,156,557,488,543,726,616,893,907,484,756,50,612,805,324,883,436,528,343,210,765,329,375,337
I148,653,685,503,9,876,688,713,769,327,860,388,265,889,362,956,645,457,335,660,386,18,529,625,269,303,516,590,91,548,568,307,233,718,852,770,906,548,436,580,552,375,574,327,846,7,675,35,708,694,207
I113,556,245,314,631,641,994,298,381,861,902,48,441,33,8,0,67,453,39,526,823,693,512,558,732,519,807,451,38,608,531,120,701,667,440,538,682,671,172,586,561,436,569,975,918,734,157,986,385,713,862
119072,898,31,311,362,220,867,859,823,170,490,566,47,467,786,246,366,903,856,340,68,310,201,425,840,429,770,567,361,627,668,724,832,936,798,40,440,64,774,330,722,873,733,966,713,249,766,357,763,615,186
I112,627,974,654,620,940,375,49,266,929,576,351,295,531,75,924,795,266,462,831,645,52,985,595,264,487,561,639,664,137,692,639,503,478,206,139,896,936,59,765,725,595,74,944,611,481,286,303,208,820,309
I111,726,773,968,726,88,428,687,534,756,838,545,379,309,633,16,138,317,170,44,855,576,921,459,754,349,617,30,956,791,891,306,865,78,452,704,404,750,778,907,686,847,916,115,780,476,72,212,736,285,993
1513,656,640,265,821,873,93,179,85,973,384,745,580,154,520,189,951,700,548,804,986,905,952,148,990,831,345,989,671,799,155,189,832,933,832,156,431,351,736,250,430,398,249,393,766,713,519,20,493,97,160
1502,489,803,31,680,656,354,840,662,137,763,198,779,107,983,473,901,194,889,383,383,671,36,137,161,769,438,446,543,738,914,762,729,836,523,453,336,770,646,340,838,395,995,224,886,271,20,407,31,516,97
1488,59,802,368,350,330,561,748,375,831,44,594,908,458,650,558,898,911,970,553,611,330,423,325,592,767,602,166,881,844,853,332,463,253,667,471,379,399,768,971,800,543,199,867,654,172,817,758,230,930,454
I147,762,206,522,899,54,795,183,570,378,437,717,509,664,944,377,709,294,850,774,241,823,469,891,345,708,13,173,20,256,854,590,57,353,117,987,222,181,830,980,106,798,55,369,740,159,513,353,391,542,11
I121,200,636,611,409,225,901,495,73,397,332,492,841,811,546,569,348,566,179,49,60,575,636,534,658,660,577,404,353,158,526,773,679,652,71,927,639,705,348,481,803,895,234,168,604,643,619,605,883,939,138
I120,21,452,863,719,593,567,32,982,48,873,29,615,175,304,623,967,268,452,282,196,263,694,227,718,73,867,981,316,980,447,331,6,854,72,576,623,998,725,715,566,662,6,407,88,923,163,79,59,534,836
I119,670,676,8,123,519,30,62,519,75,304,885,503,788,91,663,20,894,936,919,638,288,811,341,486,416,363,17,493,144,996,909,464,709,895,617,366,147,333,440,843,302,143,302,906,662,896,559,209,478,802
I114,395,783,205,752,89,142,454,763,94,710,483,392,231,389,889,904,896,964,871,738,786,607,826,293,201,855,720,746,962,0,605,917,143,715,739,792,278,429,728,836,653,276,922,131,543,317,819,853,830,584
