DATASET_HEATMAP
#In heatmaps, each ID is associated to multiple numeric values, which are displayed as a set of colored boxes defined by a color gradient
#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL example_heatmap_60

#dataset color (can be changed later)
COLOR #ff0000

#define labels for each individual field column

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#


#Heatmaps can have an optional Newick formatted tree assigned. Its leaf IDs must exactly match the dataset FIELD_LABELS.
#The tree will be used to sort the dataset fields, and will be displayed above the dataset. It can have branch lengths defined.
#All newlines and spaces should be stripped from the tree, and COMMA cannot be used as the dataset separator if a FIELD_TREE is provided.
#FIELD_TREE (((f1,f5),(f2,f3)),(f4,f7));
FIELD_TREE (440-16843009:0.16,(((((((((590-16843009:0.55,530-16843009:0.98):0.54,490-16843009:0.11):0.25,510-16843009:0.23):0.60,(50-16843009:0.42,((420-16843009:0.43,(250-16843009:0.40,40-16843009:0.38):0.03):0.82,(220-16843009:0.06,270-16843009:0.97):0.46):0.21):0.85):0.06,180-16843009:0.10):0.82,110-16843009:0.71):0.19,(((0-1635528704-1:0.10,310-16843009:0.53):0.61,(((580-16843009:0.78,350-16843009:0.38):0.42,(500-16843009:0.97,((30-16843009:0.02,550-16843009:0.23):0.30,(((460-16843009:0.27,90-16843009:0.40):0.85,(320-16843009:0.07,(190-16843009:0.34,((170-16843009:0.97,280-16843009:0.86):0.08,((380-16843009:0.98,70-16843009:0.65):0.40,520-16843009:0.90):0.66):0.89):0.92):0.85):0.11,((370-16843009:0.60,140-16843009:0.60):0.47,(120-16843009:0.61,((80-16843009:0.40,60-16843009:0.85):0.56,300-16843009:0.77):0.46):0.42):0.18):0.95):0.24):0.41):0.46,((360-16843009:0.26,((340-16843009:0.14,400-16843009:0.57):0.67,430-16843009:0.10):0.96):0.81,(((100-16843009:0.97,130-16843009:0.21):0.69,160-16843009:0.07):0.31,(560-16843009:0.30,540-16843009:0.44):0.09):0.72):0.10):0.46):0.79,((240-16843009:0.39,((390-16843009:0.09,470-16843009:0.01):0.14,20-16843009:0.58):0.77):0.87,(260-16843009:0.88,((210-16843009:0.17,(570-16843009:0.18,150-16843009:0.64):0.23):0.36,(330-16843009:0.95,((10-16843009:0.86,(290-16843009:0.24,200-16843009:0.13):0.62):0.42,480-16843009:0.02):0.77):0.41):0.85):0.69):0.47):0.05):0.16,410-16843009:0.91):0.84,(230-16843009:0.81,450-16843009:0.59):0.63):0.09);


#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN 0

#width of the individual boxes
STRIP_WIDTH 25

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL 0

#if a FIELD_TREE is present, it can be hidden by setting this option to 0
SHOW_TREE 1

#if a FIELD_TREE is present, it will have this height in pixels 
TREE_HEIGHT 1000

#define the heatmap gradient colors. Values in the dataset will be mapped onto the corresponding color gradient.
COLOR_MIN #ff0000
COLOR_MAX #0000ff

#you can specify a gradient with three colors (e.g red to yellow to green) by setting 'USE_MID_COLOR' to 1, and specifying the midpoint color
USE_MID_COLOR 1
COLOR_MID #ffff00

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
FIELD_LABELS 440-16843009 590-16843009 530-16843009 490-16843009 510-16843009 50-16843009 420-16843009 250-16843009 40-16843009 220-16843009 270-16843009 180-16843009 110-16843009 0-1635528704-1 310-16843009 580-16843009 350-16843009 500-16843009 30-16843009 550-16843009 460-16843009 90-16843009 320-16843009 190-16843009 170-16843009 280-16843009 380-16843009 70-16843009 520-16843009 370-16843009 140-16843009 120-16843009 80-16843009 60-16843009 300-16843009 360-16843009 340-16843009 400-16843009 430-16843009 100-16843009 130-16843009 160-16843009 560-16843009 540-16843009 240-16843009 390-16843009 470-16843009 20-16843009 260-16843009 210-16843009 570-16843009 150-16843009 330-16843009 10-16843009 290-16843009 200-16843009 480-16843009 410-16843009 230-16843009 450-16843009
35554 -91 -345 -636 -230 314 907 849 -472 -425 455 172 -195 -805 468 396 580 853 785 -648 -505 720 274 -426 -98 -413 -741 -1000 -429 -3 -998 -741 962 961 837 -398 -678 167 -719 288 -687 313 -983 953 717 472 338 -786 -378 -725 630 192 -823 -552 -388 -58 118 109 -96 -285 615
959 -84 802 -489 829 -286 899 457 -747 486 73 347 744 983 -149 295 -869 -491 -965 211 -862 -621 -672 290 -235 766 306 65 857 -645 395 -88 445 730 863 -377 -139 -580 108 -383 -244 -855 -359 -375 -885 170 927 647 343 -709 -608 -540 -141 786 -254 -874 -58 816 -796 878 783
240015 918 -70 -867 2 -683 -345 -519 -429 -689 -702 834 626 -427 40 461 485 -146 -979 -47 31 237 427 360 445 490 334 -751 -501 585 412 270 645 7 839 -611 -636 333 -620 -201 764 -141 -838 -643 -641 -551 -538 -711 373 -705 -783 -449 404 -394 347 551 731 864 561 318 895
234267 -473 434 228 113 -119 450 124 609 548 912 -462 -526 -884 928 642 -940 920 40 -680 -288 -977 -757 964 129 86 -277 -236 -943 364 -120 -208 -791 282 -179 -983 483 -728 -317 583 617 -451 -859 392 631 147 571 -260 550 -720 398 -839 -259 -710 -655 -480 437 55 -50 -154 73
76856 -594 -508 995 -996 929 68 -655 -873 318 140 -370 -319 -989 -113 110 -343 759 877 -979 593 -542 940 517 -76 376 -908 -8 -330 322 -568 -134 -108 -576 -987 785 737 913 172 -471 183 -95 -323 -865 -91 -346 -317 322 194 -182 -856 -410 -815 -107 823 209 13 -144 -795 -860 839
63363 -6 -673 -567 -609 -293 -612 -998 282 -630 470 -750 983 548 -597 -642 -936 -956 -588 -53 339 -324 -335 352 446 546 717 -892 215 633 757 274 735 -574 568 302 -659 -593 -178 53 -318 -996 -286 -66 795 345 84 156 113 775 -607 -513 -591 -4 718 404 -545 -651 240 -630 -595
2336 -66 -438 29 -333 -341 -572 -543 -419 438 770 -783 -468 579 -781 558 -92 -629 -839 -134 330 527 11 793 -730 -965 893 979 25 933 -505 -532 85 577 -713 66 589 -222 -703 -522 250 -166 -848 322 -205 -187 -264 6 109 807 941 709 -62 -660 -467 107 -30 944 -652 -225 -290
262724 821 -919 -656 -39 -82 -151 -904 -588 58 327 -796 -589 372 223 -76 841 289 -977 524 -946 -757 -790 696 -455 -542 52 -300 -602 -331 672 187 -802 23 49 -839 -156 -431 -227 -571 -959 199 -186 232 613 991 -114 -773 -755 -426 438 -685 -368 -104 -328 -826 -615 -261 -161 -194 -341
1299 -740 118 -512 952 782 512 82 -584 -5 -708 512 -747 368 995 656 -129 796 -535 198 -589 287 97 -143 974 -526 -491 759 -654 397 -287 228 293 -249 -569 380 573 -247 -945 551 445 -273 -282 -856 -226 578 222 -813 -352 -337 625 -869 15 -333 -360 625 712 -134 705 -978 479
243164 838 241 -849 970 -56 -975 927 -238 -10 914 -899 83 353 148 -271 457 621 -670 583 320 -777 -567 491 174 -136 -407 427 897 421 -887 -434 -823 -590 468 -17 -813 577 433 630 325 -87 1000 -788 933 -971 -130 -1 -189 -156 497 -517 38 -830 153 774 740 -125 763 -633 -1000
103690 -457 457 -852 519 -53 526 -269 235 -973 -148 682 -317 -982 677 831 721 -336 -664 -506 -964 378 -193 -630 -475 86 460 -396 37 -591 179 -288 -756 -996 -404 151 771 -785 -223 -898 -789 431 -256 558 -975 131 201 996 -268 511 -485 388 127 -477 377 811 444 846 -275 -565 -847
1148 927 -714 -381 366 104 555 266 441 -244 -736 -125 -640 13 291 130 907 -93 797 301 -217 -893 552 -211 194 444 -587 951 474 -932 -315 505 -163 -83 714 -675 751 941 -583 599 697 422 -540 -946 -770 212 744 567 -749 786 597 41 -734 -998 -412 548 -294 -847 -286 481 -636
32046 -698 -489 474 -854 411 -676 648 78 338 -219 -329 651 -889 923 -505 915 604 -59 290 -481 857 -477 -863 193 -86 -909 965 -338 981 -302 587 -206 -723 -62 229 776 155 507 -722 -945 685 -9 15 -646 -300 728 806 318 -14 495 -600 -651 -125 624 410 58 933 166 -629 -726
84588 837 640 -279 -314 -992 -156 341 331 -640 237 -819 -210 -39 675 -916 285 633 236 565 -231 -725 -87 13 890 290 -202 -492 117 -36 679 -54 -904 -263 -984 957 -397 -777 434 -707 525 -807 175 -563 817 140 -919 423 -67 337 149 -296 413 -46 -924 -543 -243 328 553 -259 -340
74547 -23 -395 565 826 -154 926 -387 -287 544 -144 -603 -175 -958 491 -155 -629 -305 -208 474 -745 816 667 -327 417 270 540 -464 -958 -49 280 -453 441 157 626 -727 -657 242 341 354 -559 706 -167 265 -857 -125 398 285 -180 247 -757 -152 -552 415 -136 -461 -831 -767 921 -122 333
1219 235 433 -308 520 958 -653 -559 609 113 -581 798 -29 447 284 19 -387 504 277 451 739 -875 745 991 276 159 985 -516 -590 -593 -870 -11 838 -258 -331 919 -152 614 481 876 996 -589 541 -925 -864 -202 -850 475 -242 -781 719 -326 156 75 -610 122 -876 -848 332 -68 605
59919 -491 576 397 653 -818 -89 -950 790 -873 -656 153 754 336 318 -222 939 -304 -439 268 -904 -155 -58 968 515 -664 809 687 641 -669 -646 -415 542 -983 -358 -774 938 -60 -263 506 569 -916 170 -335 -733 381 518 -529 -104 -177 710 631 -667 629 17 557 763 581 -447 998 -238
33072 409 230 -373 -645 317 -241 823 8 720 -592 -497 -627 162 118 936 -340 -602 252 -345 660 -350 78 -765 -131 264 -898 -526 154 -557 -650 -553 -423 -414 -687 344 721 816 826 913 -891 521 373 376 -598 -985 645 57 148 -354 -69 -2 -802 -335 923 738 -967 -933 -42 505 -693
214688 -160 632 -100 606 74 476 55 -997 -778 -607 879 -748 -710 -989 968 -285 495 890 13 -756 214 -171 -934 -894 87 861 687 758 -944 881 -347 238 305 463 963 -71 732 877 -399 239 654 -378 -279 -685 948 317 197 819 -359 -898 539 -39 181 -271 38 -686 -340 389 998 477
117 862 -799 653 58 -415 -664 605 961 -908 -892 -881 796 609 -136 -355 120 -357 -815 923 482 -221 742 -372 -896 -334 799 598 135 -104 178 -888 -208 -415 125 886 -865 -528 62 136 -781 -608 -467 -170 749 377 -699 722 387 -718 921 -449 989 -982 -451 -488 -395 343 -924 651 25
44275 -892 268 -937 468 482 -186 378 512 409 902 319 -529 -111 -90 -580 -119 -379 -804 120 381 -704 919 -196 333 -618 -339 161 -436 235 872 -698 56 794 759 897 251 -791 -354 316 -904 -204 -47 47 23 808 -999 872 -696 986 276 -543 686 630 100 183 960 389 163 -401 243
173 -439 83 558 -885 -287 -185 -322 -993 462 -101 400 552 986 972 629 -859 -281 36 634 477 -778 -81 238 506 -314 134 382 -220 -130 -221 95 209 -605 -115 -494 995 -828 783 -492 -448 561 -492 559 -96 -184 691 237 -948 752 -602 747 -908 537 -813 -539 681 316 94 -703 268
160 -700 -430 -863 -941 785 559 611 -235 838 199 -576 533 347 860 -238 -710 -7 -390 532 921 261 -665 292 -784 743 -163 336 451 113 609 839 -546 688 390 -170 271 40 425 487 662 -67 -442 -941 305 696 551 961 -894 -344 518 -21 -563 -683 -920 -449 -652 812 -293 721 -132
158 -961 -778 617 -380 965 374 332 875 570 -991 985 -966 -706 -452 -257 -217 -222 -980 -267 93 886 -866 373 339 707 -228 -825 -73 987 683 583 -651 -941 616 288 226 52 887 345 -357 -387 211 699 -618 858 -538 467 742 -172 941 367 -884 -546 -802 -479 -17 334 -13 -23 -802
139 751 251 288 405 -667 -128 -150 126 941 960 -967 112 -733 -335 -949 260 -19 -96 673 898 804 -201 680 -958 541 -893 323 -174 -856 -634 50 -975 -95 853 159 -43 807 220 -95 -459 -671 626 469 612 857 475 -698 -100 638 -58 -845 175 -677 -827 -847 -485 866 812 353 -17
218496 -731 150 543 -38 -438 661 -855 -252 -949 619 -628 -186 891 -240 -965 -714 -690 -279 -107 -778 227 265 -588 71 367 881 837 55 308 668 -582 -480 -244 -770 -342 882 781 -768 613 -192 926 -369 -340 467 -740 750 979 -690 -737 -429 35 -451 247 974 163 557 453 453 -293 477
203267 -633 -464 -494 -523 495 233 709 54 552 689 -427 771 -148 -768 199 -734 -355 -126 -473 -630 -69 531 -8 171 846 -136 930 -362 674 -576 -681 437 -19 -531 -795 -726 -593 887 -343 162 208 452 460 660 -321 -717 573 -153 971 296 -280 -89 645 -972 839 -139 903 142 -188 -594
216816 493 -899 -279 -458 -264 995 -690 543 717 522 -740 41 4 -583 116 -895 275 681 -306 212 482 530 -293 582 -213 619 503 103 164 870 690 -240 -412 -270 43 934 -550 952 703 110 -83 -273 -532 287 133 922 76 683 -752 47 -55 333 -808 -77 -591 -875 338 -941 937 -322
196627 618 -578 401 -590 955 709 -978 -424 -711 976 916 -102 -670 652 990 371 -821 124 -17 -911 -360 -463 -758 1000 397 -756 -23 560 894 991 349 -846 717 -425 963 771 -241 353 -904 560 -2 -210 703 474 380 -486 626 269 571 -662 321 666 -697 -329 -690 -869 -669 -407 692 694
1718 14 730 -252 -822 -205 -341 174 -703 87 -601 -611 -967 143 229 -368 736 -909 511 646 -427 739 -186 -485 671 633 -655 348 104 915 480 131 197 -358 779 877 321 996 -593 -722 916 492 730 168 953 345 189 -730 709 -238 -652 -56 -489 974 -974 -798 979 324 -844 -472 413
152794 -690 -931 240 -54 9 360 -952 -850 -32 981 573 73 663 148 -761 -468 295 -368 -182 -468 -847 937 -300 503 -361 -695 194 88 -76 620 370 167 949 107 -123 -59 -973 -727 -787 -405 739 364 446 389 -810 62 691 -567 745 -633 -843 -576 -980 506 872 -282 677 -128 -219 991
1717 -389 294 360 -52 -565 -714 -585 -86 -812 887 56 -201 151 -478 -817 174 517 151 -239 858 -626 792 -523 -465 968 975 101 -162 301 852 153 923 -939 729 992 962 -518 424 272 117 -743 287 607 -671 -15 -500 976 -26 895 -976 468 916 96 708 172 882 908 -499 -284 920
1765 -762 200 985 125 -860 527 -343 173 -712 -245 -180 -479 -151 -791 624 970 452 91 -324 -578 -266 580 -769 511 -803 692 -95 -357 280 -821 415 847 -986 -36 -278 15 -932 -493 -896 -283 225 627 945 -118 -441 975 56 748 -141 183 506 800 -611 717 343 38 634 -531 -797 552
83331 -509 545 741 175 542 657 404 -772 -474 952 -291 82 -363 -62 948 -587 804 589 -515 353 -298 -346 -993 -401 -248 -164 -44 -650 824 129 735 -851 -198 -673 642 959 147 1000 341 401 -651 -649 122 -803 742 246 -134 -301 -15 -487 177 -424 -472 144 950 692 -484 -969 -123 -216
83332 881 852 11 505 259 584 47 -622 876 -811 -853 -687 862 301 -523 777 988 419 334 690 -339 -664 529 -36 -35 381 -197 963 498 277 -436 873 544 508 136 305 585 -231 -314 -163 -854 -446 -112 129 -331 643 349 738 -201 551 546 -959 866 -771 -268 -646 766 -91 -122 407
1769 -405 387 236 872 -125 -379 -526 -790 -920 582 150 883 937 369 -29 -667 805 965 -395 617 -3 -429 923 228 231 -801 -37 -208 -605 -542 -115 -997 315 881 293 -121 33 996 963 422 512 483 -942 -865 734 142 -434 949 397 -396 575 -41 907 -285 279 -836 -428 778 74 434
1770 775 -826 -890 -916 21 808 395 342 -898 -520 782 422 209 391 -957 770 -540 -750 -925 641 831 -75 -563 -100 -673 -634 -465 68 -987 621 -600 -837 -636 -104 -470 78 -827 -522 735 102 -990 547 63 260 -364 585 301 -457 101 -480 247 -910 728 -616 -945 -775 587 923 -200 931
33903 -646 -206 -975 -552 749 6 -609 463 4 -769 831 271 510 958 718 994 -377 873 809 454 -811 -24 3 619 975 431 489 -500 825 320 -488 676 234 641 -499 -13 -909 589 -745 -440 -622 97 -947 738 -66 -416 513 -324 -372 -350 -802 789 467 -280 -551 -865 89 242 -550 257
1902 -289 610 763 523 425 780 949 152 933 407 -409 -171 317 -397 892 418 -529 297 174 63 787 353 389 -33 707 54 943 -904 -655 -755 -989 307 -955 180 327 139 -54 -947 130 717 -741 442 -192 -130 -966 -407 690 90 -913 229 -170 881 -898 -711 -151 -408 366 -933 -200 -573
59374 490 -693 -599 972 -77 291 -772 -956 -712 -870 958 326 -57 53 106 649 -934 -133 777 665 -486 79 -969 -413 -368 540 -43 252 -215 673 -567 -654 346 949 354 -988 -700 207 595 -748 -812 -41 -441 -611 -936 -32 -766 866 -654 -290 14 -984 124 -266 -10 787 -498 -493 19 -801
1097 387 206 -791 -777 -422 -173 88 444 -424 -391 -348 307 -289 706 747 -185 850 -789 -700 -655 355 134 972 977 -394 395 791 47 840 -131 -338 -490 -565 240 -478 107 -229 847 871 286 976 983 -173 -168 -826 296 764 -488 410 -68 678 -877 787 -352 694 -253 -655 412 855 -501
837 924 604 62 -793 -613 792 365 -380 -372 -326 809 475 999 349 674 825 409 -415 -918 918 735 12 -818 306 34 -227 -913 -373 -30 -149 -867 541 562 889 -218 489 -458 20 -880 -665 873 -446 744 -252 -162 804 -359 -96 567 559 523 407 463 59 721 951 -510 544 248 -429
818 -389 -246 -601 697 53 646 -992 934 809 695 38 -569 561 848 -896 101 487 -157 519 -476 -524 -771 329 -638 419 883 -772 -687 672 -906 -610 -875 -1 866 -928 -150 -186 300 183 985 804 367 -706 -365 325 -610 -656 -987 100 -72 -43 597 269 -954 908 -567 443 947 -789 -553
182082 -676 -195 -659 790 123 -18 421 34 746 894 589 -682 -278 -143 -922 -854 -491 571 20 297 908 8 789 682 836 641 -869 -942 296 558 -999 572 929 -632 164 -38 27 591 965 -319 -366 -540 343 15 168 -653 -156 -573 581 42 -72 -856 -336 252 956 -160 638 -958 202 -163
138677 687 242 -563 -294 -153 582 484 -915 929 -798 531 500 -833 -920 -989 -981 518 838 -321 -743 73 640 851 159 -792 254 499 557 819 785 -288 714 160 897 422 -343 -997 -258 -483 433 -106 635 -952 825 337 -737 -566 -595 -877 -21 -535 677 97 -334 406 -344 -491 -546 -553 -619
115713 -268 365 -356 465 441 -955 -293 575 869 -585 -349 763 356 -610 348 393 20 457 -940 271 222 611 -1000 -834 -377 804 674 -645 597 -73 -294 542 779 821 905 -513 -731 -381 400 37 50 116 396 -970 279 -110 965 -706 730 948 -867 -131 -548 480 -218 568 197 -884 -785 -613
115711 935 -733 541 447 -724 -127 211 -54 -325 -423 -678 -545 750 -503 645 -495 -502 858 -957 -453 -317 957 673 -998 -555 -230 -509 -881 -332 -788 715 -853 509 -278 -331 -969 964 -850 -610 -792 708 -346 855 -493 717 -395 -670 -197 60 -279 -830 78 -983 965 702 246 108 -737 958 -164
83557 -125 550 -933 779 -287 603 714 944 -241 95 292 -610 -12 -146 637 193 -979 -66 -582 -953 -137 -854 -260 -413 706 456 291 354 999 294 991 -125 178 39 818 866 -379 380 -67 -661 -303 -663 319 749 467 -667 -190 -769 -981 339 457 -478 -554 -427 -23 -151 439 -358 343 571
83560 -717 -76 532 -555 506 -986 65 738 513 547 -372 457 -299 827 717 553 953 83 -677 -633 -799 953 -158 -633 -36 713 517 -968 537 658 614 -835 -35 -635 443 -831 325 -685 -935 482 -845 7 -213 350 820 -960 233 958 926 -155 -681 957 797 -879 -390 -872 -345 -983 134 847
813 819 940 308 492 602 -339 363 436 -486 -694 -480 -509 -976 513 155 284 -405 -49 417 839 396 211 481 787 342 350 378 -437 185 10 -302 -722 788 -6 -579 -741 686 -365 -202 487 -375 174 661 -257 -208 931 202 -105 -273 860 54 -953 724 120 -9 -952 -572 -943 843 177
119072 -42 -54 191 -855 433 502 308 -568 -98 -865 -360 -241 442 -360 -310 228 -672 117 838 770 649 -808 287 779 413 966 521 285 296 643 -281 -231 192 -853 943 -297 432 -243 -765 -520 -471 -737 -463 -597 -201 746 335 705 55 354 -478 -556 172 -216 -940 -211 750 -954 -79 660
1513 608 -171 132 893 -557 -668 504 186 393 842 893 -695 -992 297 -976 763 -598 498 71 -150 -981 476 504 -457 199 855 629 -281 -690 665 462 -44 -276 383 12 753 -290 71 143 -513 567 -831 -354 -134 188 636 665 -14 717 -793 733 -111 292 -285 679 -780 -998 -876 -332 -775
1502 566 -609 -888 754 -387 638 -792 979 -589 -274 -163 -232 -980 -485 363 300 -946 160 719 923 -294 872 -923 194 -609 874 -69 -855 982 -766 -433 -876 435 687 -25 -635 -203 536 249 305 -737 239 735 655 -375 -854 -388 -1000 153 -202 -954 -338 -919 -825 136 279 820 -559 585 -189
1488 -224 677 780 547 121 387 -765 992 159 495 944 -169 -77 -15 -359 -927 -476 721 324 454 676 467 -893 -34 325 678 -920 976 394 -256 -50 -205 -958 -602 786 990 -588 557 -451 1 -673 -172 477 -965 -971 66 -300 -828 337 772 206 262 462 327 -32 32 941 866 787 -377
267748 -452 -842 -946 243 -35 -152 -50 935 -403 -400 -725 572 -783 919 -585 -5 724 -6 -518 -631 -977 127 -303 -626 117 400 -451 -877 -795 767 -751 614 871 562 -328 494 431 258 -98 284 -420 -994 -93 224 807 222 176 -152 782 241 907 465 -667 867 684 -996 -819 -873 95 518
2107 758 -178 499 -740 695 -709 -196 -979 325 -563 -74 394 358 -603 707 414 -369 -545 -339 -679 -734 867 -731 -372 -372 -769 -605 -194 822 -959 896 963 -654 -70 325 -324 108 180 -661 -682 -17 74 -562 -228 897 -746 447 -619 -10 10 861 -204 -279 -564 198 -590 -630 -694 914 -259
2104 615 77 -220 -672 -85 -994 700 617 -842 57 578 -809 -20 -377 859 -389 -20 -542 -753 -818 -313 508 -226 -168 -431 227 373 68 -359 646 10 -474 -348 -504 -389 -751 -289 314 467 863 222 -182 -51 600 267 418 919 -831 -70 247 676 -173 870 572 528 -436 43 -350 401 619
2097 -443 654 851 -721 856 -537 128 598 -507 -680 44 868 758 643 -797 -133 -77 2 108 -712 910 140 349 529 -481 815 -803 242 -19 537 592 999 287 644 -55 -76 -296 -744 37 205 695 -763 -770 -155 -151 925 748 -609 -396 772 -760 -454 2 194 -936 -347 -404 -955 -902 -118
2096 -895 -298 -272 -445 -827 -285 828 331 557 568 -721 681 358 398 -963 -863 15 -937 -498 694 -650 -983 876 -427 550 677 -7 -589 591 73 690 -16 -995 -399 403 -335 -699 -750 632 999 819 894 747 -195 322 792 -440 -758 -481 -409 -530 -980 22 878 -706 -150 -693 -80 755 -304
28227 -865 -76 841 -543 -93 -17 650 -116 -544 242 -649 838 -6 -567 -273 549 -169 -673 60 334 932 377 -928 -301 -612 -161 -610 421 -832 -63 -263 -898 943 576 985 219 755 -120 -813 324 -120 697 597 145 886 -693 -691 -731 -72 715 -603 -648 102 -731 235 -119 -682 159 -926 -586
134821 -75 42 891 982 -765 928 -297 127 -892 212 832 -846 963 652 -498 606 -600 431 588 164 161 -729 867 703 -338 -6 681 23 -867 -577 938 539 612 723 49 447 38 -337 -235 395 -658 -257 726 798 531 -195 -838 -255 -748 -193 61 804 -869 662 -775 507 -936 -270 680 -967
44101 -463 575 -569 -372 -552 884 688 -911 -602 -707 976 -259 -915 -269 649 870 940 271 -906 791 -348 -14 925 -566 607 305 992 543 78 -27 -32 438 -533 337 -260 -266 796 -704 -187 -175 367 -914 -584 -294 698 -505 -774 137 940 -906 552 470 946 -68 -841 -109 -316 65 -221 -818
100379 814 111 952 100 -175 217 -656 42 357 -933 -897 -320 -234 146 453 575 968 85 -311 975 455 -99 187 48 393 917 -29 636 -159 213 625 -159 401 689 -317 318 -563 -923 -633 409 96 560 648 187 99 -303 -316 -317 520 -915 -417 -462 721 -970 -565 -440 -381 -283 247 777
265669 -8 -317 -5 -794 284 -80 -685 -775 -210 232 -396 516 819 516 -314 -435 -937 -621 -889 -234 -483 -925 -49 499 423 -163 -758 292 358 740 685 -120 -616 203 -97 301 -811 107 -824 285 -987 -996 389 299 421 130 215 -658 -859 538 957 374 -230 -973 846 779 -657 424 -725 -307
1639 -983 303 708 8 -117 407 223 -268 38 679 -143 858 -818 115 144 -507 175 67 -513 -677 420 374 -812 895 -27 500 -770 475 583 837 -11 -849 531 481 -703 -924 -472 16 -802 -798 867 -202 -90 -913 206 -934 125 -635 -197 -860 33 -927 -505 -128 229 -709 76 -327 553 -883
1642 495 684 -838 437 -68 289 -94 -731 -362 836 -314 342 -989 301 774 298 502 -474 -797 -280 -396 -419 -20 -972 494 -782 -439 471 -174 191 -239 737 -771 649 -352 -834 -901 469 -104 -235 751 -292 471 -624 551 887 -874 66 -926 989 -872 -757 -34 969 -617 630 178 926 -59 -924
182710 -543 -329 402 819 165 -530 -998 -949 513 -855 -793 -918 365 -612 -747 -409 -10 976 -423 266 -541 912 -609 796 414 80 -865 427 -474 -567 691 -622 394 264 89 -558 962 724 -366 -899 279 -983 167 441 516 342 870 -616 119 -171 -304 476 509 -772 876 548 635 315 -326 -779
86665 952 -923 168 -662 -892 -899 -903 -554 -922 238 -272 419 921 -849 -865 -913 -595 161 689 -505 -342 989 704 956 544 806 -82 212 305 810 -467 280 -767 -215 718 -413 185 587 -118 -660 -261 -698 -323 209 -408 5 240 -134 -622 195 29 -964 -182 870 -220 -844 864 272 55 -917
226900 -127 -771 924 -183 -462 803 -99 463 -198 776 -109 -794 -481 792 951 -42 -464 -548 504 690 266 -581 -72 -263 255 735 -795 -109 324 336 -124 -686 -825 792 -604 -374 -765 -916 -699 -611 348 829 462 -541 -12 710 -444 4 247 501 46 -188 -399 -398 749 978 -277 -842 -958 162
222523 724 453 283 565 -582 887 632 360 -174 -317 -960 369 -627 858 -360 166 -415 -907 193 398 -742 -164 -210 923 -645 811 104 510 234 -657 -738 -695 -183 -103 435 626 -570 986 -810 -656 -281 333 475 -410 -171 -915 476 606 395 923 544 -767 -728 -722 918 82 809 205 356 -807
198094 -965 726 -506 69 -315 -462 744 676 -289 666 344 511 858 17 326 -46 607 620 -679 -278 -383 -72 -787 -744 462 677 611 -371 -814 -75 -654 -318 -191 -837 -736 437 -506 710 434 888 840 -632 497 -601 -578 278 -636 668 -776 -17 -840 -955 -96 200 -872 -436 -411 945 -953 -260
1423 -981 -254 -961 113 -390 -917 -199 -999 77 -960 -818 -978 -961 191 -145 -197 -260 556 -152 382 -736 901 -906 205 359 772 168 -766 -645 -311 260 435 357 -698 360 -251 -335 399 879 -689 -279 565 -973 81 317 693 -888 672 423 -715 793 -48 518 -758 456 669 814 708 -577 -287
196620 557 230 340 -694 -484 -470 788 -297 950 327 -721 2 263 -204 412 -886 645 -597 -464 616 347 633 155 903 836 -588 304 -37 843 256 -5 -469 996 641 99 137 416 326 591 -430 891 -34 -487 897 -67 -11 -896 -509 623 -198 778 418 17 430 560 325 -218 -577 76 -359
158879 -537 -658 -474 -348 357 -79 -72 -662 970 -243 -737 -813 -864 -454 955 -637 357 -885 -886 847 -94 334 102 91 -970 -644 -506 48 197 -658 -35 -333 979 -860 539 -989 452 704 -588 -840 -762 -889 541 745 336 -409 -419 -369 -880 -736 368 -688 -904 -392 586 479 -979 966 -445 -264
158878 382 938 -332 -406 -533 -16 91 -936 -826 -884 803 -895 -870 -59 -763 -599 -208 -378 833 859 260 160 -309 295 195 286 -344 -843 23 177 -668 73 -848 -306 -806 21 244 296 -848 -38 693 347 -936 517 -132 -165 159 36 -937 -347 -908 410 204 -564 -196 -785 -447 -340 962 929
1282 205 -679 -760 -92 -22 401 -183 -60 492 -69 640 -513 606 -152 -55 -627 287 -714 516 96 -124 -446 848 298 -793 266 -191 -196 132 262 221 -687 -652 -212 -588 -326 289 -187 -422 -456 -989 978 830 -776 -614 -912 -759 431 -574 623 169 -878 524 615 -743 889 943 693 355 -202
